Date,Price,Return,Sign,avg_positive_XLE,avg_neutral_XLE,avg_negative_XLE,n_XLE,sent_index_XLE
2018-03-20,47.900123596191406,,,0.6174949208895365,0.3647681586444378,0.0177369058753053,3.0,0.5997580150142312
2018-03-21,49.15442657470703,0.0261857983726654,1.0,0.0729572772979736,0.8961561620235443,0.03088656999170775,2.0,0.04207070730626586
2018-03-22,48.15097427368164,-0.0204142814991504,-1.0,0.08848311007022851,0.8751792311668396,0.03633762430399655,2.0,0.05214548576623196
2018-03-23,47.85711669921875,-0.0061028375623857,-1.0,0.4277238827198744,0.5187486112117767,0.0535275363363325,2.0,0.3741963463835419
2018-03-26,48.71721649169922,0.0179722442930732,1.0,0.0314373010769486,0.5484990030527115,0.42006370052695274,2.0,-0.38862639945000416
2018-03-27,48.258487701416016,-0.0094161535349903,-1.0,0.10382737033069131,0.8770206272602081,0.0191519423387944,2.0,0.08467542799189691
2018-03-28,47.319557189941406,-0.0194562771482592,-1.0,,,,,
2018-03-29,48.31584548950195,0.02105447216172,1.0,0.0156194944866001,0.060177220031619,0.9242032766342163,2.0,-0.9085837821476163
2018-04-02,47.34821701049805,-0.020027145736571,-1.0,0.4431416392326355,0.3757172006492813,0.1811411899204055,6.0,0.26200044931223
2018-04-03,48.358829498291016,0.0213442564810601,1.0,0.8669972717761993,0.10177639871835706,0.0312263485975563,2.0,0.835770923178643
2018-04-04,48.2943229675293,-0.0013339142289207,-1.0,0.3315628875667849,0.3726087597509225,0.2958283741027116,3.0,0.0357345134640733
2018-04-05,49.16158676147461,0.0179578828453277,1.0,0.30383551493287086,0.39601750671863556,0.30014689080417156,2.0,0.0036886241286993027
2018-04-06,48.2728271484375,-0.0180783345612755,-1.0,0.03016512685765817,0.09500046819448464,0.874834418296814,3.0,-0.8446692914391558
2018-04-09,48.50219345092773,0.004751457829162,1.0,0.07275862495104467,0.17057833882669607,0.7566630244255066,3.0,-0.6839043994744619
2018-04-10,50.107704162597656,0.0331018165867964,1.0,0.3642207073668639,0.4727238056560357,0.1630554985668924,9.0,0.20116520879997152
2018-04-11,50.63090515136719,0.010441527855113,1.0,0.29702084759871167,0.35641208477318287,0.3465670297543208,3.0,-0.04954618215560913
2018-04-12,50.623756408691406,-0.000141193262384,-1.0,0.6097460240125656,0.36988640204072,0.0203676000237464,2.0,0.5893784239888192
2018-04-13,51.18281555175781,0.0110434148456519,1.0,0.22878651289890203,0.13541650399565694,0.635796976586183,3.0,-0.4070104636872809
2018-04-16,51.70602798461914,0.0102224238198118,1.0,0.42001688728729875,0.35411957651376724,0.22586354613304138,3.0,0.19415334115425736
2018-04-17,51.9067497253418,0.0038819795011593,1.0,0.2138337589567527,0.058305609971284825,0.7278606537729502,4.0,-0.5140268948161975
2018-04-18,52.72380828857422,0.0157408924187276,1.0,0.44745902841289836,0.2129494994878768,0.3395914618546764,3.0,0.10786756655822194
2018-04-19,52.78832626342773,0.0012236971673287,1.0,0.24069712348282338,0.388108903542161,0.3711939776316285,5.0,-0.1304968541488051
2018-04-20,52.5374641418457,-0.004752227231645,-1.0,0.35652790053023226,0.3662947178300884,0.2771774041983816,9.0,0.07935049633185065
2018-04-23,52.86001205444336,0.0061393886794156,1.0,0.8828783631324768,0.0249916110187768,0.0921300575137138,1.0,0.790748305618763
2018-04-24,52.29378509521485,-0.0107118204711214,-1.0,0.0238895090296864,0.2623612601310014,0.7137492001056671,2.0,-0.6898596910759807
2018-04-25,52.70949172973633,0.007949446263348,1.0,0.36257153439025086,0.31548947095870966,0.3219390405962865,3.0,0.040632493793964386
2018-04-26,53.47638320922852,0.0145494000098571,1.0,0.4762026206590235,0.029580993577837875,0.4942163568921387,4.0,-0.018013736233115196
2018-04-27,52.91015625,-0.0105883555552577,-1.0,0.4621900037995406,0.07850570151848449,0.45930432262165205,7.0,0.002885681177888566
2018-04-30,52.90299987792969,-0.0001352551679586,-1.0,0.15052930675446982,0.2949357096105814,0.5545349810272455,5.0,-0.40400567427277567
2018-05-01,52.58047866821289,-0.0060964635363022,-1.0,0.8602021336555481,0.1045551570132374,0.0352426758036017,2.0,0.8249594578519464
2018-05-02,52.79550552368164,0.0040894807524591,1.0,,,,,
2018-05-03,52.67364501953125,-0.0023081605705191,-1.0,0.2211341708898544,0.1328465193510055,0.6460192799568176,1.0,-0.4248851090669632
2018-05-04,52.931671142578125,0.0048985811206192,1.0,0.9030185341835022,0.0445404201745986,0.0524410642683506,1.0,0.8505774699151516
2018-05-07,53.00334930419922,0.0013541639641041,1.0,0.43954849988222117,0.130870271474123,0.42958115413784975,2.0,0.009967345744371414
2018-05-08,53.4190673828125,0.0078432416832259,1.0,0.35506297275424004,0.038275548567374466,0.6066614696756005,3.0,-0.2515984969213605
2018-05-09,54.50850296020508,0.0203941332330916,1.0,0.3354359308257699,0.352975444868207,0.31158863399177783,10.0,0.02384729683399206
2018-05-10,54.91706085205078,0.007495305679996,1.0,0.26181198135018346,0.19194733239710327,0.5462407007813453,5.0,-0.2844287194311619
